,2016,2017,2018,2019,2020,2021,2022,2023,2024
diff_orb,0.6160398048749598,0.6212182444039438,0.6440415468525911,0.6001150696006384,0.6150561674158601,0.648149257934728,0.6455401337906213,0.5955890841752884,0.6519871053816542
diff_tov,0.6313502816552377,0.5981808962649819,0.6294608056275844,0.6099736674400827,0.6017260502934774,0.6245005030261136,0.6514178147469567,0.5874105618566282,0.6547736623782892
diff_3p%,0.3127392122918532,0.2752313805103124,0.2971553541354951,0.24666264037707453,0.2356210398579306,0.22888709411355113,0.24976518968187433,0.21681488403466165,0.2864650228392692
diff_2p%,0.28393381091516434,0.31431700409096486,0.28789522793367806,0.33311199148172543,0.3114289928783497,0.34812307966640466,0.3664403826934518,0.3148006358039188,0.3276823438121601
diff_ft%,0.7063469624599485,0.7210162038793785,0.7492553767181304,0.685064687605318,0.71186932513332,0.7229000941875616,0.751139825836569,0.7033161898533367,0.7532975399618169
diff_fta,0.6811933967243404,0.6763409024158623,0.7170765560223068,0.6725981582837457,0.6734014141732522,0.7049620634340703,0.737089474195735,0.6974592684258,0.7315296911192064
diff_3pa,0.7901425297528009,0.7673598499581699,0.8099856973618407,0.758329059306832,0.7756476428874604,0.7768643345522337,0.8172062547786323,0.7852548835487284,0.8047278545748755
