,Pseudo_R2_Excluded
diff_orb,0.6163221025154966
diff_tov,0.6110713085613574
diff_3p%,0.256785387561536
diff_2p%,0.3129935604585793
diff_ft%,0.7063755451022308
diff_fta,0.6818976233782861
diff_3pa,0.7700421488409899
