,2016,2017,2018,2019,2020,2021,2022,2023,2024
diff_orb,0.17542980836284072,0.1462052226391204,0.1670315957956272,0.1582199717138616,0.16064812805337336,0.12873753571624036,0.17171583010817015,0.18983318752291367,0.1541124869861994
diff_tov,0.16011933158256286,0.16924257077808225,0.18161233702063384,0.14836137387441728,0.1739782451757561,0.15238629062485476,0.1658381491518347,0.1980117098415739,0.1513259299895644
diff_3p%,0.4787304009459473,0.4921920865327518,0.5139177885127232,0.5116724009374255,0.5400832556113029,0.5479996995374172,0.5674907742169171,0.5686073876635405,0.5196345695285843
diff_2p%,0.5075358023226362,0.45310646295209933,0.5231779147145402,0.4252230498327746,0.4642753025908838,0.4287637139845637,0.4508155812053396,0.4706216358942833,0.47841724855569345
diff_ft%,0.08512265077785197,0.04640726316368571,0.06181776593008792,0.073270353709182,0.06383497033591345,0.05398669946340673,0.06611613806222238,0.08210608184486545,0.05280205240603664
diff_fta,0.11027621651346009,0.09108256462720188,0.09399658662591148,0.08573688303075433,0.10230288129598131,0.07192473021689805,0.0801664897030564,0.08796300327240214,0.07456990124864715
diff_3pa,0.0013270834849996582,6.36170848943296e-05,0.0010874452863776085,5.982007667992839e-06,5.665258177312005e-05,2.2459098734661787e-05,4.970912015911377e-05,0.00016738814947370173,0.001371737792978056
