,,,Place,,Conference,,Division,,,,,,All-Star,,Margin,,Month,,,,,,
17,Atlanta Hawks,41-41,24-17,17-24,26-26,15-15,12-Jun,6-Dec,8-Aug,6-Apr,4-Jun,5-May,29-30,11-Dec,7-Oct,19-15,3-Apr,7-Aug,9-May,7-Aug,5-Jun,8-Jul,2-Mar
18,Toronto Raptors,41-41,27-14,14-27,26-26,15-15,12-Apr,8-Oct,6-Dec,5-May,7-Mar,3-Jul,28-31,13-10,10-Apr,23-16,3-Apr,7-Jul,10-May,9-Jul,3-Aug,7-Jul,2-Mar
19,Chicago Bulls,40-42,22-19,18-23,27-25,13-17,9-Sep,9-Jul,7-Nov,4-Jun,8-Feb,5-May,26-33,14-9,7-Apr,24-19,4-Mar,8-Jun,8-Jul,7-Jul,7-May,6-Sep,2-Mar
20,Oklahoma City Thunder,40-42,24-17,16-25,15-15,25-27,4-Jun,5-May,6-Apr,7-Sep,12-Jun,8-Oct,28-29,13-Dec,7-Jul,21-15,3-Mar,10-Jun,8-Jun,5-Sep,7-Apr,7-Oct,2-Feb
21,Dallas Mavericks,38-44,23-18,15-26,20-Oct,28-24,4-Jun,8-Feb,8-Feb,9-Sep,8-Oct,7-Sep,31-29,15-Jul,12-Aug,12-Nov,3-Mar,7-Jul,6-Nov,9-Jun,6-May,9-May,4-Jan
22,Utah Jazz,37-45,23-18,14-27,13-17,24-28,7-Mar,6-Apr,4-Jun,10-Jun,10-Aug,8-Oct,29-31,14-Aug,8-Oct,13-16,2-Jun,9-Jul,9-Jun,6-Jul,6-May,9-May,4-Jan
23,Indiana Pacers,35-47,20-21,15-26,24-28,19-Nov,11-Jul,9-Jul,8-Oct,8-Feb,5-May,6-Apr,26-34,13-Sep,7-Aug,25-Sep,5-Mar,4-Sep,8-Aug,11-Apr,7-Apr,9-Jun,3-Jan
24,Washington Wizards,35-47,19-22,16-25,21-31,14-16,13-May,10-Aug,8-Aug,6-Apr,7-Mar,3-Jul,28-30,17-Jul,6-Jul,19-21,4-Mar,7-Aug,10-May,5-Aug,6-May,11-May,4-Jan
25,Orlando Magic,34-48,20-21,14-27,20-32,14-16,10-Aug,13-May,9-Jul,6-Apr,5-May,5-May,24-35,13-Oct,6-May,16-24,6-Jan,11-Apr,7-Aug,7-Jul,5-Jun,8-Jul,4-Jan
26,Portland Trail Blazers,33-49,17-24,16-25,20-Oct,23-29,9-Jan,7-Mar,4-Jun,9-Jul,12-Jun,8-Oct,28-30,19-May,7-Aug,18-28,1-May,10-Jun,6-Jul,9-Jun,6-May,13-Mar,4-Jan
27,Charlotte Hornets,27-55,13-28,14-27,15-37,18-Dec,16-Feb,12-Jun,9-Jul,6-Apr,7-Mar,5-May,17-43,12-Oct,3-Mar,Aug-35,4-Mar,11-Mar,12-Apr,10-May,6-May,9-Jun,3-Jan
28,Houston Rockets,22-60,14-27,Aug-33,20-Oct,Dec-40,8-Feb,6-Apr,6-Apr,13-May,15-Mar,12-Apr,13-45,15-Sep,4-May,Jun-36,7-Jan,9-Apr,10-May,12-Feb,10-Jan,11-Jun,1-Mar
29,San Antonio Spurs,22-60,14-27,Aug-33,18-Dec,Oct-42,7-Mar,4-Jun,7-Mar,12-Jun,17-Jan,13-Mar,14-45,15-Aug,3-Mar,Jun-42,2-May,14-Jan,8-Jun,13-Feb,10-Jan,11-Apr,2-Mar
30,Detroit Pistons,17-65,Sep-32,Aug-33,Aug-44,21-Sep,17-Jan,14-Feb,13-May,5-May,8-Feb,8-Feb,15-44,21-Feb,8-Feb,Jun-37,6-Feb,12-Mar,11-May,10-Mar,8-Feb,14-Jan,4-Jan
