Unnamed: 0,mp,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,team,total,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,team_opp,total_opp,home_opp,season,date,won,2p,2pa,2p%,2p_opp,2pa_opp,2p%_opp,diff_fg,diff_fga,diff_fg%,diff_3p,diff_3pa,diff_3p%,diff_2p,diff_2pa,diff_2p%,diff_ft,diff_fta,diff_ft%,diff_orb,diff_drb,diff_trb,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,diff_pts
2037,240.0,240.0,39.0,83.0,47.0,6.0,22.0,27.3,23.0,27.0,85.2,6.0,31.0,37.0,14.0,7.0,7.0,14.0,25.0,107.0,,0.564,0.506,0.265,0.325,14.0,67.4,41.6,35.9,7.0,9.2,12.9,100.0,106.6,115.5,MIA,107,1,0,240.0,240.0,44.0,90.0,48.9,8.0,14.0,57.099999999999994,20.0,29.0,69.0,15.0,37.0,52.0,18.0,9.0,3.0,14.0,22.0,116.0,,0.564,0.533,0.156,0.322,32.6,86.0,58.4,40.9,9.0,4.9,12.0,100.0,115.5,106.6,ORL,116,0,2017,2017-02-13,False,33.0,61.0,54.09836065573771,36.0,76.0,47.368421052631575,-5.0,-7.0,-1.9000000000000017,-2.0,8.0,-29.799999999999994,-3.0,-15.0,6.729939603106133,3.0,-2.0,16.200000000000003,-9.0,-6.0,-15.0,-4.0,-2.0,4.0,0.0,3.0,-9.0
22489,240.0,240.0,38.0,75.0,50.7,8.0,16.0,50.0,17.0,25.0,68.0,6.0,32.0,38.0,18.0,4.0,5.0,9.0,18.0,101.0,,0.587,0.56,0.213,0.333,16.7,74.4,48.1,47.4,4.5,9.4,9.5,100.0,114.2,115.3,TOR,101,1,0,240.0,240.0,36.0,84.0,42.9,8.0,31.0,25.8,22.0,29.0,75.9,11.0,30.0,41.0,12.0,8.0,5.0,7.0,18.0,102.0,,0.527,0.476,0.369,0.345,25.6,83.3,51.9,33.3,9.0,8.5,6.7,100.0,115.3,114.2,DET,102,0,2017,2017-02-12,False,30.0,59.0,50.84745762711864,28.0,53.0,52.83018867924528,2.0,-9.0,7.800000000000002,0.0,-15.0,24.2,2.0,6.0,-1.9827310521266408,-5.0,-4.0,-7.899999999999996,-5.0,2.0,-3.0,6.0,-4.0,0.0,2.0,0.0,-1.0
1418,240.0,240.0,40.0,81.0,49.4,16.0,34.0,47.099999999999994,15.0,18.0,83.3,7.0,34.0,41.0,28.0,5.0,3.0,12.0,25.0,111.0,,0.624,0.593,0.42,0.222,17.5,89.5,52.6,70.0,5.4,6.0,11.9,100.0,118.8,104.9,BOS,111,0,1,240.0,240.0,35.0,77.0,45.5,9.0,27.0,33.300000000000004,19.0,25.0,76.0,4.0,33.0,37.0,21.0,7.0,2.0,12.0,16.0,98.0,,0.557,0.513,0.351,0.325,10.5,82.5,47.4,60.0,7.5,4.3,12.0,100.0,104.9,118.8,DAL,98,1,2017,2017-02-13,True,24.0,47.0,51.06382978723404,26.0,50.0,52.0,5.0,4.0,3.8999999999999977,7.0,7.0,13.799999999999995,-2.0,-3.0,-0.9361702127659632,-4.0,-7.0,7.299999999999995,3.0,1.0,4.0,7.0,-2.0,1.0,0.0,9.0,13.0
1419,240.0,240.0,35.0,77.0,45.5,9.0,27.0,33.300000000000004,19.0,25.0,76.0,4.0,33.0,37.0,21.0,7.0,2.0,12.0,16.0,98.0,,0.557,0.513,0.351,0.325,10.5,82.5,47.4,60.0,7.5,4.3,12.0,100.0,104.9,118.8,DAL,98,1,0,240.0,240.0,40.0,81.0,49.4,16.0,34.0,47.099999999999994,15.0,18.0,83.3,7.0,34.0,41.0,28.0,5.0,3.0,12.0,25.0,111.0,,0.624,0.593,0.42,0.222,17.5,89.5,52.6,70.0,5.4,6.0,11.9,100.0,118.8,104.9,BOS,111,0,2017,2017-02-13,False,26.0,50.0,52.0,24.0,47.0,51.06382978723404,-5.0,-4.0,-3.8999999999999977,-7.0,-7.0,-13.799999999999995,2.0,3.0,0.9361702127659632,4.0,7.0,-7.299999999999995,-3.0,-1.0,-4.0,-7.0,2.0,-1.0,0.0,-9.0,-13.0
2036,240.0,240.0,44.0,90.0,48.9,8.0,14.0,57.099999999999994,20.0,29.0,69.0,15.0,37.0,52.0,18.0,9.0,3.0,14.0,22.0,116.0,,0.564,0.533,0.156,0.322,32.6,86.0,58.4,40.9,9.0,4.9,12.0,100.0,115.5,106.6,ORL,116,0,1,240.0,240.0,39.0,83.0,47.0,6.0,22.0,27.3,23.0,27.0,85.2,6.0,31.0,37.0,14.0,7.0,7.0,14.0,25.0,107.0,,0.564,0.506,0.265,0.325,14.0,67.4,41.6,35.9,7.0,9.2,12.9,100.0,106.6,115.5,MIA,107,1,2017,2017-02-13,True,36.0,76.0,47.368421052631575,33.0,61.0,54.09836065573771,5.0,7.0,1.9000000000000017,2.0,-8.0,29.799999999999994,3.0,15.0,-6.729939603106133,-3.0,2.0,-16.200000000000003,9.0,6.0,15.0,4.0,2.0,-4.0,0.0,-3.0,9.0
22488,240.0,240.0,36.0,84.0,42.9,8.0,31.0,25.8,22.0,29.0,75.9,11.0,30.0,41.0,12.0,8.0,5.0,7.0,18.0,102.0,,0.527,0.476,0.369,0.345,25.6,83.3,51.9,33.3,9.0,8.5,6.7,100.0,115.3,114.2,DET,102,0,1,240.0,240.0,38.0,75.0,50.7,8.0,16.0,50.0,17.0,25.0,68.0,6.0,32.0,38.0,18.0,4.0,5.0,9.0,18.0,101.0,,0.587,0.56,0.213,0.333,16.7,74.4,48.1,47.4,4.5,9.4,9.5,100.0,114.2,115.3,TOR,101,1,2017,2017-02-12,True,28.0,53.0,52.83018867924528,30.0,59.0,50.84745762711864,-2.0,9.0,-7.800000000000002,0.0,15.0,-24.2,-2.0,-6.0,1.9827310521266408,5.0,4.0,7.899999999999996,5.0,-2.0,3.0,-6.0,4.0,0.0,-2.0,0.0,1.0
4918,240.0,240.0,34.0,78.0,43.6,7.0,21.0,33.300000000000004,14.0,19.0,73.7,12.0,32.0,44.0,17.0,4.0,1.0,17.0,18.0,89.0,,0.515,0.481,0.269,0.244,30.0,86.5,57.1,50.0,4.5,1.7,16.4,100.0,99.3,113.8,DET,89,0,1,240.0,240.0,40.0,79.0,50.6,6.0,21.0,28.6,16.0,16.0,100.0,5.0,28.0,33.0,26.0,9.0,2.0,11.0,17.0,102.0,,0.593,0.544,0.266,0.203,13.5,70.0,42.9,65.0,10.0,3.5,11.3,100.0,113.8,99.3,MIL,102,1,2017,2017-02-13,False,27.0,57.0,47.368421052631575,34.0,58.0,58.620689655172406,-6.0,-1.0,-7.000000000000001,1.0,0.0,4.700000000000005,-7.0,-1.0,-11.252268602540832,-2.0,3.0,-26.3,7.0,4.0,11.0,-9.0,-5.0,-1.0,6.0,1.0,-13.0
12163,240.0,240.0,42.0,73.0,57.49999999999999,13.0,20.0,65.0,23.0,28.0,82.1,6.0,34.0,40.0,27.0,4.0,9.0,22.0,24.0,120.0,,0.703,0.664,0.274,0.384,18.2,63.0,46.0,64.3,4.0,14.5,20.5,100.0,120.8,98.7,WAS,120,1,0,240.0,240.0,34.0,96.0,35.4,7.0,34.0,20.6,23.0,30.0,76.7,20.0,27.0,47.0,16.0,10.0,2.0,15.0,22.0,98.0,,0.449,0.391,0.354,0.313,37.0,81.8,54.0,47.1,10.1,3.8,12.1,100.0,98.7,120.8,OKC,98,0,2017,2017-02-13,True,29.0,53.0,54.71698113207547,27.0,62.0,43.54838709677419,8.0,-23.0,22.1,6.0,-14.0,44.400000000000006,2.0,-9.0,11.168594035301275,0.0,-2.0,5.399999999999993,-14.0,7.0,-7.0,11.0,-6.0,7.0,7.0,2.0,22.0
5502,240.0,240.0,36.0,81.0,44.4,9.0,25.0,36.0,7.0,11.0,63.6,6.0,43.0,49.0,16.0,7.0,7.0,13.0,19.0,88.0,,0.513,0.5,0.309,0.136,14.0,78.2,50.0,44.4,7.7,10.9,13.2,100.0,96.6,79.1,LAC,88,0,1,240.0,240.0,28.0,87.0,32.2,4.0,23.0,17.4,12.0,18.0,66.7,12.0,37.0,49.0,14.0,5.0,4.0,10.0,11.0,72.0,,0.379,0.345,0.264,0.207,21.8,86.0,50.0,50.0,5.5,7.1,9.5,100.0,79.1,96.6,UTA,72,1,2017,2017-02-13,True,27.0,56.0,48.214285714285715,24.0,64.0,37.5,8.0,-6.0,12.2,5.0,2.0,18.6,3.0,-8.0,10.714285714285715,-5.0,-7.0,-3.1000000000000028,-6.0,6.0,0.0,2.0,2.0,3.0,3.0,8.0,16.0
5503,240.0,240.0,28.0,87.0,32.2,4.0,23.0,17.4,12.0,18.0,66.7,12.0,37.0,49.0,14.0,5.0,4.0,10.0,11.0,72.0,,0.379,0.345,0.264,0.207,21.8,86.0,50.0,50.0,5.5,7.1,9.5,100.0,79.1,96.6,UTA,72,1,0,240.0,240.0,36.0,81.0,44.4,9.0,25.0,36.0,7.0,11.0,63.6,6.0,43.0,49.0,16.0,7.0,7.0,13.0,19.0,88.0,,0.513,0.5,0.309,0.136,14.0,78.2,50.0,44.4,7.7,10.9,13.2,100.0,96.6,79.1,LAC,88,0,2017,2017-02-13,False,24.0,64.0,37.5,27.0,56.0,48.214285714285715,-8.0,6.0,-12.2,-5.0,-2.0,-18.6,-3.0,8.0,-10.714285714285715,5.0,7.0,3.1000000000000028,6.0,-6.0,0.0,-2.0,-2.0,-3.0,-3.0,-8.0,-16.0
8960,240.0,240.0,37.0,78.0,47.4,8.0,28.0,28.6,28.0,35.0,80.0,5.0,32.0,37.0,19.0,8.0,5.0,16.0,23.0,110.0,,0.589,0.526,0.359,0.449,14.3,71.1,46.3,51.4,7.8,7.1,14.6,100.0,106.8,104.9,NOP,110,0,1,240.0,240.0,40.0,93.0,43.0,8.0,23.0,34.8,20.0,24.0,83.3,13.0,30.0,43.0,14.0,7.0,3.0,18.0,25.0,108.0,,0.521,0.473,0.247,0.258,28.9,85.7,53.8,35.0,6.8,6.0,14.8,100.0,104.9,106.8,PHO,108,1,2017,2017-02-13,True,29.0,50.0,57.99999999999999,32.0,70.0,45.714285714285715,-3.0,-15.0,4.399999999999999,0.0,5.0,-6.2,-3.0,-20.0,12.285714285714285,8.0,11.0,-3.299999999999992,-8.0,2.0,-6.0,5.0,1.0,2.0,-2.0,-2.0,2.0
8961,240.0,240.0,40.0,93.0,43.0,8.0,23.0,34.8,20.0,24.0,83.3,13.0,30.0,43.0,14.0,7.0,3.0,18.0,25.0,108.0,,0.521,0.473,0.247,0.258,28.9,85.7,53.8,35.0,6.8,6.0,14.8,100.0,104.9,106.8,PHO,108,1,0,240.0,240.0,37.0,78.0,47.4,8.0,28.0,28.6,28.0,35.0,80.0,5.0,32.0,37.0,19.0,8.0,5.0,16.0,23.0,110.0,,0.589,0.526,0.359,0.449,14.3,71.1,46.3,51.4,7.8,7.1,14.6,100.0,106.8,104.9,NOP,110,0,2017,2017-02-13,False,32.0,70.0,45.714285714285715,29.0,50.0,57.99999999999999,3.0,15.0,-4.399999999999999,0.0,-5.0,6.2,3.0,20.0,-12.285714285714285,-8.0,-11.0,3.299999999999992,8.0,-2.0,6.0,-5.0,-1.0,-2.0,2.0,2.0,-2.0
12162,240.0,240.0,34.0,96.0,35.4,7.0,34.0,20.6,23.0,30.0,76.7,20.0,27.0,47.0,16.0,10.0,2.0,15.0,22.0,98.0,,0.449,0.391,0.354,0.313,37.0,81.8,54.0,47.1,10.1,3.8,12.1,100.0,98.7,120.8,OKC,98,0,1,240.0,240.0,42.0,73.0,57.49999999999999,13.0,20.0,65.0,23.0,28.0,82.1,6.0,34.0,40.0,27.0,4.0,9.0,22.0,24.0,120.0,,0.703,0.664,0.274,0.384,18.2,63.0,46.0,64.3,4.0,14.5,20.5,100.0,120.8,98.7,WAS,120,1,2017,2017-02-13,False,27.0,62.0,43.54838709677419,29.0,53.0,54.71698113207547,-8.0,23.0,-22.1,-6.0,14.0,-44.400000000000006,-2.0,9.0,-11.168594035301275,0.0,2.0,-5.399999999999993,14.0,-7.0,7.0,-11.0,6.0,-7.0,-7.0,-2.0,-22.0
22241,240.0,240.0,44.0,81.0,54.3,6.0,24.0,25.0,23.0,26.0,88.5,10.0,36.0,46.0,27.0,11.0,4.0,14.0,14.0,117.0,,0.633,0.58,0.296,0.321,27.8,80.0,56.8,61.4,11.5,6.8,13.2,100.0,122.4,93.1,MIN,117,1,0,240.0,240.0,35.0,84.0,41.7,10.0,25.0,40.0,9.0,13.0,69.19999999999999,9.0,26.0,35.0,22.0,7.0,2.0,18.0,24.0,89.0,,0.496,0.476,0.298,0.155,20.0,72.2,43.2,62.9,7.3,3.5,16.7,100.0,93.1,122.4,CHI,89,0,2017,2017-02-12,True,38.0,57.0,66.66666666666666,25.0,59.0,42.3728813559322,9.0,-3.0,12.600000000000003,-4.0,-1.0,-15.000000000000002,13.0,-2.0,24.29378531073446,14.0,13.0,19.300000000000004,1.0,10.0,11.0,5.0,4.0,2.0,-4.0,-10.0,28.0
13504,265.0,265.0,32.0,83.0,38.6,8.0,28.0,28.6,37.0,48.0,77.10000000000001,7.0,45.0,52.0,20.0,9.0,11.0,9.0,23.0,109.0,,0.523,0.434,0.337,0.578,13.7,67.2,44.1,62.5,8.7,18.0,8.0,100.0,105.0,100.2,ATL,109,0,1,265.0,265.0,37.0,103.0,35.9,16.0,42.0,38.1,14.0,25.0,56.00000000000001,22.0,44.0,66.0,22.0,4.0,4.0,14.0,34.0,104.0,,0.456,0.437,0.408,0.243,32.8,86.3,55.9,59.5,3.9,7.3,10.9,100.0,100.2,105.0,POR,104,1,2017,2017-02-13,True,24.0,55.0,43.63636363636363,21.0,61.0,34.42622950819672,-5.0,-20.0,2.7000000000000024,-8.0,-14.0,-9.500000000000004,3.0,-6.0,9.210134128166914,23.0,23.0,21.1,-15.0,1.0,-14.0,-2.0,5.0,7.0,-5.0,-11.0,5.0
4919,240.0,240.0,40.0,79.0,50.6,6.0,21.0,28.6,16.0,16.0,100.0,5.0,28.0,33.0,26.0,9.0,2.0,11.0,17.0,102.0,,0.593,0.544,0.266,0.203,13.5,70.0,42.9,65.0,10.0,3.5,11.3,100.0,113.8,99.3,MIL,102,1,0,240.0,240.0,34.0,78.0,43.6,7.0,21.0,33.300000000000004,14.0,19.0,73.7,12.0,32.0,44.0,17.0,4.0,1.0,17.0,18.0,89.0,,0.515,0.481,0.269,0.244,30.0,86.5,57.1,50.0,4.5,1.7,16.4,100.0,99.3,113.8,DET,89,0,2017,2017-02-13,True,34.0,58.0,58.620689655172406,27.0,57.0,47.368421052631575,6.0,1.0,7.000000000000001,-1.0,0.0,-4.700000000000005,7.0,1.0,11.252268602540832,2.0,-3.0,26.3,-7.0,-4.0,-11.0,9.0,5.0,1.0,-6.0,-1.0,13.0
22240,240.0,240.0,35.0,84.0,41.7,10.0,25.0,40.0,9.0,13.0,69.19999999999999,9.0,26.0,35.0,22.0,7.0,2.0,18.0,24.0,89.0,,0.496,0.476,0.298,0.155,20.0,72.2,43.2,62.9,7.3,3.5,16.7,100.0,93.1,122.4,CHI,89,0,1,240.0,240.0,44.0,81.0,54.3,6.0,24.0,25.0,23.0,26.0,88.5,10.0,36.0,46.0,27.0,11.0,4.0,14.0,14.0,117.0,,0.633,0.58,0.296,0.321,27.8,80.0,56.8,61.4,11.5,6.8,13.2,100.0,122.4,93.1,MIN,117,1,2017,2017-02-12,False,25.0,59.0,42.3728813559322,38.0,57.0,66.66666666666666,-9.0,3.0,-12.600000000000003,4.0,1.0,15.000000000000002,-13.0,2.0,-24.29378531073446,-14.0,-13.0,-19.300000000000004,-1.0,-10.0,-11.0,-5.0,-4.0,-2.0,4.0,10.0,-28.0
12798,240.0,240.0,42.0,71.0,59.2,13.0,30.0,43.3,15.0,23.0,65.2,3.0,34.0,37.0,20.0,6.0,4.0,16.0,24.0,112.0,,0.69,0.683,0.423,0.324,10.3,72.3,48.7,47.6,6.5,7.3,16.5,100.0,121.1,112.5,BOS,112,0,1,240.0,240.0,35.0,86.0,40.7,8.0,31.0,25.8,26.0,30.0,86.7,13.0,26.0,39.0,16.0,9.0,2.0,9.0,19.0,104.0,,0.524,0.453,0.36,0.349,27.7,89.7,51.3,45.7,9.7,4.9,8.3,100.0,112.5,121.1,UTA,104,1,2017,2017-02-11,True,29.0,41.0,70.73170731707317,27.0,55.0,49.09090909090909,7.0,-15.0,18.5,5.0,-1.0,17.5,2.0,-14.0,21.640798226164076,-11.0,-7.0,-21.499999999999996,-10.0,8.0,-2.0,4.0,-3.0,2.0,7.0,5.0,8.0
10440,240.0,240.0,33.0,91.0,36.3,6.0,29.0,20.7,18.0,22.0,81.8,21.0,25.0,46.0,17.0,11.0,1.0,11.0,16.0,90.0,,0.447,0.396,0.319,0.242,35.0,83.3,51.1,51.5,12.3,1.9,9.8,100.0,100.9,105.4,SAS,90,0,1,240.0,240.0,34.0,68.0,50.0,9.0,14.0,64.3,17.0,21.0,81.0,5.0,39.0,44.0,18.0,5.0,8.0,19.0,19.0,94.0,,0.608,0.566,0.206,0.309,16.7,65.0,48.9,52.9,5.6,12.9,19.7,100.0,105.4,100.9,NYK,94,1,2017,2017-02-12,False,27.0,62.0,43.54838709677419,25.0,54.0,46.2962962962963,-1.0,23.0,-13.7,-3.0,15.0,-43.60000000000001,2.0,8.0,-2.7479091995221028,1.0,1.0,0.7999999999999896,16.0,-14.0,2.0,-1.0,6.0,-7.0,-8.0,-3.0,-4.0
13505,265.0,265.0,37.0,103.0,35.9,16.0,42.0,38.1,14.0,25.0,56.00000000000001,22.0,44.0,66.0,22.0,4.0,4.0,14.0,34.0,104.0,,0.456,0.437,0.408,0.243,32.8,86.3,55.9,59.5,3.9,7.3,10.9,100.0,100.2,105.0,POR,104,1,0,265.0,265.0,32.0,83.0,38.6,8.0,28.0,28.6,37.0,48.0,77.10000000000001,7.0,45.0,52.0,20.0,9.0,11.0,9.0,23.0,109.0,,0.523,0.434,0.337,0.578,13.7,67.2,44.1,62.5,8.7,18.0,8.0,100.0,105.0,100.2,ATL,109,0,2017,2017-02-13,False,21.0,61.0,34.42622950819672,24.0,55.0,43.63636363636363,5.0,20.0,-2.7000000000000024,8.0,14.0,9.500000000000004,-3.0,6.0,-9.210134128166914,-23.0,-23.0,-21.1,15.0,-1.0,14.0,2.0,-5.0,-7.0,5.0,11.0,-5.0
2815,240.0,240.0,37.0,85.0,43.5,13.0,37.0,35.099999999999994,15.0,20.0,75.0,8.0,32.0,40.0,24.0,6.0,4.0,8.0,20.0,102.0,,0.544,0.512,0.435,0.235,16.7,76.2,44.4,64.9,6.4,7.8,7.9,100.0,109.1,114.5,CHO,102,1,0,240.0,240.0,40.0,85.0,47.099999999999994,14.0,34.0,41.2,13.0,20.0,65.0,10.0,40.0,50.0,26.0,3.0,6.0,13.0,21.0,107.0,,0.57,0.553,0.4,0.235,23.8,83.3,55.6,65.0,3.2,12.5,12.2,100.0,114.5,109.1,LAC,107,0,2017,2017-02-11,False,24.0,48.0,50.0,26.0,51.0,50.98039215686274,-3.0,0.0,-3.599999999999998,-1.0,3.0,-6.1,-2.0,-3.0,-0.9803921568627416,2.0,0.0,9.999999999999998,-2.0,-8.0,-10.0,-2.0,3.0,-2.0,-5.0,-1.0,-5.0
