Unnamed: 0,mp,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,team,total,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,team_opp,total_opp,home_opp,season,date,won,2p,2pa,2p%,2p_opp,2pa_opp,2p%_opp,diff_fg,diff_fga,diff_fg%,diff_3p,diff_3pa,diff_3p%,diff_2p,diff_2pa,diff_2p%,diff_ft,diff_fta,diff_ft%,diff_orb,diff_drb,diff_trb,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,diff_pts
2398,240.0,240.0,45.0,83.0,54.2,15.0,34.0,44.1,19.0,27.0,70.39999999999999,8.0,28.0,36.0,28.0,2.0,1.0,11.0,22.0,124.0,,0.653,0.633,0.41,0.325,25.0,70.0,50.0,62.2,2.1,1.8,10.4,100.0,130.8,141.3,GSW,124,0,1,240.0,240.0,49.0,92.0,53.3,17.0,36.0,47.2,19.0,22.0,86.4,12.0,24.0,36.0,33.0,5.0,4.0,8.0,22.0,134.0,,0.659,0.625,0.391,0.239,30.0,75.0,50.0,67.3,5.3,8.2,7.3,100.0,141.3,130.8,LAC,134,1,2023,2023-02-14,False,30.0,49.0,61.224489795918366,32.0,56.0,57.14285714285714,-4.0,-9.0,0.9000000000000008,-2.0,-2.0,-3.099999999999997,-2.0,-7.0,4.081632653061229,0.0,5.0,-16.000000000000004,-4.0,4.0,0.0,-5.0,-3.0,-3.0,3.0,0.0,-10.0
2399,240.0,240.0,49.0,92.0,53.3,17.0,36.0,47.2,19.0,22.0,86.4,12.0,24.0,36.0,33.0,5.0,4.0,8.0,22.0,134.0,,0.659,0.625,0.391,0.239,30.0,75.0,50.0,67.3,5.3,8.2,7.3,100.0,141.3,130.8,LAC,134,1,0,240.0,240.0,45.0,83.0,54.2,15.0,34.0,44.1,19.0,27.0,70.39999999999999,8.0,28.0,36.0,28.0,2.0,1.0,11.0,22.0,124.0,,0.653,0.633,0.41,0.325,25.0,70.0,50.0,62.2,2.1,1.8,10.4,100.0,130.8,141.3,GSW,124,0,2023,2023-02-14,True,32.0,56.0,57.14285714285714,30.0,49.0,61.224489795918366,4.0,9.0,-0.9000000000000008,2.0,2.0,3.099999999999997,2.0,7.0,-4.081632653061229,0.0,-5.0,16.000000000000004,4.0,-4.0,0.0,5.0,3.0,3.0,-3.0,0.0,10.0
8966,240.0,240.0,43.0,84.0,51.2,13.0,31.0,41.9,14.0,18.0,77.8,9.0,20.0,29.0,26.0,6.0,2.0,18.0,17.0,113.0,,0.615,0.589,0.369,0.214,25.0,60.6,42.0,60.5,6.2,3.4,16.4,100.0,116.9,127.2,ORL,113,0,1,240.0,240.0,50.0,83.0,60.2,8.0,24.0,33.300000000000004,15.0,20.0,75.0,13.0,27.0,40.0,31.0,9.0,11.0,18.0,16.0,123.0,,0.67,0.651,0.289,0.241,39.4,75.0,58.0,62.0,9.3,20.8,16.4,100.0,127.2,116.9,TOR,123,1,2023,2023-02-14,False,30.0,53.0,56.60377358490566,42.0,59.0,71.1864406779661,-7.0,1.0,-8.999999999999996,5.0,7.0,8.599999999999996,-12.0,-6.0,-14.582667093060442,-1.0,-2.0,2.8000000000000025,-4.0,-7.0,-11.0,-5.0,-3.0,-9.0,0.0,1.0,-10.0
8967,240.0,240.0,50.0,83.0,60.2,8.0,24.0,33.300000000000004,15.0,20.0,75.0,13.0,27.0,40.0,31.0,9.0,11.0,18.0,16.0,123.0,,0.67,0.651,0.289,0.241,39.4,75.0,58.0,62.0,9.3,20.8,16.4,100.0,127.2,116.9,TOR,123,1,0,240.0,240.0,43.0,84.0,51.2,13.0,31.0,41.9,14.0,18.0,77.8,9.0,20.0,29.0,26.0,6.0,2.0,18.0,17.0,113.0,,0.615,0.589,0.369,0.214,25.0,60.6,42.0,60.5,6.2,3.4,16.4,100.0,116.9,127.2,ORL,113,0,2023,2023-02-14,True,42.0,59.0,71.1864406779661,30.0,53.0,56.60377358490566,7.0,-1.0,8.999999999999996,-5.0,-7.0,-8.599999999999996,12.0,6.0,14.582667093060442,1.0,2.0,-2.8000000000000025,4.0,7.0,11.0,5.0,3.0,9.0,0.0,-1.0,10.0
15010,265.0,265.0,46.0,99.0,46.5,17.0,50.0,34.0,16.0,20.0,80.0,8.0,36.0,44.0,28.0,8.0,1.0,13.0,26.0,125.0,,0.58,0.551,0.505,0.202,16.0,78.3,45.8,60.9,7.2,2.1,10.8,100.0,112.6,118.0,BOS,125,0,1,265.0,265.0,43.0,90.0,47.8,18.0,42.0,42.9,27.0,35.0,77.10000000000001,10.0,42.0,52.0,29.0,6.0,3.0,18.0,23.0,131.0,,0.621,0.578,0.467,0.389,21.7,84.0,54.2,67.4,5.4,6.1,14.6,100.0,118.0,112.6,MIL,131,1,2023,2023-02-14,False,29.0,49.0,59.18367346938776,25.0,48.0,52.083333333333336,3.0,9.0,-1.2999999999999956,-1.0,8.0,-8.899999999999997,4.0,1.0,7.100340136054417,-11.0,-15.0,2.9000000000000026,-2.0,-6.0,-8.0,-1.0,2.0,-2.0,-5.0,3.0,-6.0
15011,265.0,265.0,43.0,90.0,47.8,18.0,42.0,42.9,27.0,35.0,77.10000000000001,10.0,42.0,52.0,29.0,6.0,3.0,18.0,23.0,131.0,,0.621,0.578,0.467,0.389,21.7,84.0,54.2,67.4,5.4,6.1,14.6,100.0,118.0,112.6,MIL,131,1,0,265.0,265.0,46.0,99.0,46.5,17.0,50.0,34.0,16.0,20.0,80.0,8.0,36.0,44.0,28.0,8.0,1.0,13.0,26.0,125.0,,0.58,0.551,0.505,0.202,16.0,78.3,45.8,60.9,7.2,2.1,10.8,100.0,112.6,118.0,BOS,125,0,2023,2023-02-14,True,25.0,48.0,52.083333333333336,29.0,49.0,59.18367346938776,-3.0,-9.0,1.2999999999999956,1.0,-8.0,8.899999999999997,-4.0,-1.0,-7.100340136054417,11.0,15.0,-2.9000000000000026,2.0,6.0,8.0,1.0,-2.0,2.0,5.0,-3.0,6.0
22504,240.0,240.0,37.0,83.0,44.6,14.0,38.0,36.8,21.0,24.0,87.5,13.0,27.0,40.0,23.0,8.0,4.0,17.0,21.0,109.0,,0.583,0.53,0.458,0.289,31.0,77.1,51.9,62.2,8.3,6.1,15.4,100.0,113.3,124.7,SAC,109,0,1,240.0,240.0,50.0,88.0,56.8,7.0,22.0,31.8,13.0,16.0,81.3,8.0,29.0,37.0,33.0,12.0,4.0,13.0,17.0,120.0,,0.631,0.608,0.25,0.182,22.9,69.0,48.1,66.0,12.5,8.9,12.0,100.0,124.7,113.3,PHO,120,1,2023,2023-02-14,False,23.0,45.0,51.11111111111111,43.0,66.0,65.15151515151516,-13.0,-5.0,-12.199999999999994,7.0,16.0,4.999999999999999,-20.0,-21.0,-14.040404040404042,8.0,8.0,6.2000000000000055,5.0,-2.0,3.0,-10.0,-4.0,0.0,4.0,4.0,-11.0
22505,240.0,240.0,50.0,88.0,56.8,7.0,22.0,31.8,13.0,16.0,81.3,8.0,29.0,37.0,33.0,12.0,4.0,13.0,17.0,120.0,,0.631,0.608,0.25,0.182,22.9,69.0,48.1,66.0,12.5,8.9,12.0,100.0,124.7,113.3,PHO,120,1,0,240.0,240.0,37.0,83.0,44.6,14.0,38.0,36.8,21.0,24.0,87.5,13.0,27.0,40.0,23.0,8.0,4.0,17.0,21.0,109.0,,0.583,0.53,0.458,0.289,31.0,77.1,51.9,62.2,8.3,6.1,15.4,100.0,113.3,124.7,SAC,109,0,2023,2023-02-14,True,43.0,66.0,65.15151515151516,23.0,45.0,51.11111111111111,13.0,5.0,12.199999999999994,-7.0,-16.0,-4.999999999999999,20.0,21.0,14.040404040404042,-8.0,-8.0,-6.2000000000000055,-5.0,2.0,-3.0,10.0,4.0,0.0,-4.0,-4.0,11.0
8534,240.0,240.0,38.0,83.0,45.8,8.0,28.0,28.6,21.0,29.0,72.39999999999999,12.0,29.0,41.0,19.0,4.0,3.0,8.0,18.0,105.0,,0.548,0.506,0.337,0.349,27.9,85.3,53.2,50.0,4.5,7.9,7.7,100.0,117.0,129.2,MIA,105,0,1,240.0,240.0,41.0,77.0,53.2,17.0,39.0,43.6,17.0,20.0,85.0,5.0,31.0,36.0,26.0,3.0,5.0,11.0,27.0,116.0,,0.676,0.643,0.506,0.26,14.7,72.1,46.8,63.4,3.3,9.1,11.4,100.0,129.2,117.0,BRK,116,1,2023,2023-02-15,False,30.0,55.0,54.54545454545454,24.0,38.0,63.1578947368421,-3.0,6.0,-7.400000000000001,-9.0,-11.0,-15.000000000000002,6.0,17.0,-8.61244019138756,4.0,9.0,-12.6,7.0,-2.0,5.0,-7.0,1.0,-2.0,-3.0,-9.0,-11.0
4299,240.0,240.0,43.0,96.0,44.8,14.0,35.0,40.0,20.0,29.0,69.0,15.0,43.0,58.0,26.0,8.0,12.0,15.0,17.0,120.0,,0.552,0.521,0.365,0.302,28.3,68.3,50.0,60.5,7.5,17.4,12.1,100.0,112.1,102.7,CHO,120,1,0,240.0,240.0,41.0,107.0,38.3,13.0,38.0,34.2,15.0,20.0,75.0,20.0,38.0,58.0,24.0,7.0,6.0,15.0,24.0,110.0,,0.475,0.444,0.355,0.187,31.7,71.7,50.0,58.5,6.5,9.8,11.5,100.0,102.7,112.1,SAS,110,0,2023,2023-02-15,True,29.0,61.0,47.540983606557376,28.0,69.0,40.57971014492754,2.0,-11.0,6.5,1.0,-3.0,5.8,1.0,-8.0,6.961273461629835,5.0,9.0,-6.000000000000005,-5.0,5.0,0.0,2.0,1.0,6.0,0.0,-7.0,10.0
