Unnamed: 0,mp,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,team,total,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,team_opp,total_opp,home_opp,season,date,won,2p,2pa,2p%,2p_opp,2pa_opp,2p%_opp,diff_fg,diff_fga,diff_fg%,diff_3p,diff_3pa,diff_3p%,diff_2p,diff_2pa,diff_2p%,diff_ft,diff_fta,diff_ft%,diff_orb,diff_drb,diff_trb,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,diff_pts
19704,240.0,240.0,42.0,91.0,46.2,10.0,30.0,33.300000000000004,14.0,15.0,93.3,14.0,43.0,57.0,23.0,6.0,3.0,9.0,16.0,108.0,,0.553,0.516,0.33,0.165,29.8,86.0,58.8,54.8,6.4,5.3,8.4,100.0,115.9,101.9,LAC,108,0,1,240.0,240.0,36.0,88.0,40.9,10.0,31.0,32.300000000000004,13.0,17.0,76.5,7.0,33.0,40.0,22.0,5.0,5.0,9.0,16.0,95.0,,0.497,0.466,0.352,0.193,14.0,70.2,41.2,61.1,5.4,8.2,8.6,100.0,101.9,115.9,DET,95,1,2018,2018-02-09,True,32.0,61.0,52.459016393442624,26.0,57.0,45.614035087719294,6.0,3.0,5.300000000000004,0.0,-1.0,1.0000000000000009,6.0,4.0,6.84498130572333,1.0,-2.0,16.800000000000004,7.0,10.0,17.0,1.0,1.0,-2.0,0.0,0.0,13.0
11795,240.0,240.0,38.0,90.0,42.2,9.0,23.0,39.1,15.0,21.0,71.39999999999999,12.0,31.0,43.0,25.0,5.0,3.0,12.0,19.0,100.0,,0.504,0.472,0.256,0.233,25.0,77.5,48.9,65.8,5.2,5.7,10.8,100.0,104.2,123.0,SAC,100,1,0,240.0,240.0,43.0,88.0,48.9,15.0,35.0,42.9,17.0,18.0,94.4,9.0,36.0,45.0,18.0,10.0,4.0,11.0,21.0,118.0,,0.615,0.574,0.398,0.205,22.5,75.0,51.1,41.9,10.4,6.0,10.3,100.0,123.0,104.2,POR,118,0,2018,2018-02-09,False,29.0,67.0,43.28358208955223,28.0,53.0,52.83018867924528,-5.0,2.0,-6.7,-6.0,-12.0,-3.799999999999998,1.0,14.0,-9.546606589693049,-2.0,3.0,-23.0,3.0,-5.0,-2.0,7.0,-5.0,-1.0,1.0,-2.0,-18.0
19240,240.0,240.0,46.0,86.0,53.5,15.0,35.0,42.9,16.0,24.0,66.7,6.0,37.0,43.0,31.0,8.0,4.0,9.0,17.0,123.0,,0.637,0.622,0.407,0.279,14.3,86.0,50.6,67.4,8.2,10.3,8.5,100.0,126.7,110.2,CLE,123,0,1,240.0,240.0,37.0,83.0,44.6,16.0,44.0,36.4,17.0,19.0,89.5,6.0,36.0,42.0,20.0,4.0,4.0,12.0,18.0,107.0,,0.586,0.542,0.53,0.229,14.0,85.7,49.4,54.1,4.1,7.8,11.6,100.0,110.2,126.7,ATL,107,1,2018,2018-02-09,True,31.0,51.0,60.78431372549019,21.0,39.0,53.84615384615385,9.0,3.0,8.900000000000002,-1.0,-9.0,6.5,10.0,12.0,6.9381598793363475,-1.0,5.0,-22.799999999999997,0.0,1.0,1.0,11.0,4.0,0.0,-3.0,-1.0,16.0
19241,240.0,240.0,37.0,83.0,44.6,16.0,44.0,36.4,17.0,19.0,89.5,6.0,36.0,42.0,20.0,4.0,4.0,12.0,18.0,107.0,,0.586,0.542,0.53,0.229,14.0,85.7,49.4,54.1,4.1,7.8,11.6,100.0,110.2,126.7,ATL,107,1,0,240.0,240.0,46.0,86.0,53.5,15.0,35.0,42.9,16.0,24.0,66.7,6.0,37.0,43.0,31.0,8.0,4.0,9.0,17.0,123.0,,0.637,0.622,0.407,0.279,14.3,86.0,50.6,67.4,8.2,10.3,8.5,100.0,126.7,110.2,CLE,123,0,2018,2018-02-09,False,21.0,39.0,53.84615384615385,31.0,51.0,60.78431372549019,-9.0,-3.0,-8.900000000000002,1.0,9.0,-6.5,-10.0,-12.0,-6.9381598793363475,1.0,-5.0,22.799999999999997,0.0,-1.0,-1.0,-11.0,-4.0,0.0,3.0,1.0,-16.0
19622,240.0,240.0,32.0,76.0,42.1,6.0,20.0,30.0,15.0,17.0,88.2,2.0,35.0,37.0,18.0,9.0,9.0,17.0,20.0,85.0,,0.509,0.461,0.263,0.224,5.0,72.9,42.0,56.3,9.4,14.5,16.9,100.0,88.3,94.6,MIL,85,0,1,240.0,240.0,32.0,88.0,36.4,10.0,26.0,38.5,17.0,18.0,94.4,13.0,38.0,51.0,16.0,7.0,7.0,16.0,21.0,91.0,,0.474,0.42,0.295,0.205,27.1,95.0,58.0,50.0,7.3,12.5,14.3,100.0,94.6,88.3,MIA,91,1,2018,2018-02-09,False,26.0,56.0,46.42857142857143,22.0,62.0,35.483870967741936,0.0,-12.0,5.699999999999999,-4.0,-6.0,-8.500000000000002,4.0,-6.0,10.944700460829493,-2.0,-1.0,-6.199999999999994,-11.0,-3.0,-14.0,2.0,2.0,2.0,1.0,-1.0,-6.0
19623,240.0,240.0,32.0,88.0,36.4,10.0,26.0,38.5,17.0,18.0,94.4,13.0,38.0,51.0,16.0,7.0,7.0,16.0,21.0,91.0,,0.474,0.42,0.295,0.205,27.1,95.0,58.0,50.0,7.3,12.5,14.3,100.0,94.6,88.3,MIA,91,1,0,240.0,240.0,32.0,76.0,42.1,6.0,20.0,30.0,15.0,17.0,88.2,2.0,35.0,37.0,18.0,9.0,9.0,17.0,20.0,85.0,,0.509,0.461,0.263,0.224,5.0,72.9,42.0,56.3,9.4,14.5,16.9,100.0,88.3,94.6,MIL,85,0,2018,2018-02-09,True,22.0,62.0,35.483870967741936,26.0,56.0,46.42857142857143,0.0,12.0,-5.699999999999999,4.0,6.0,8.500000000000002,-4.0,6.0,-10.944700460829493,2.0,1.0,6.199999999999994,11.0,3.0,14.0,-2.0,-2.0,-2.0,-1.0,1.0,6.0
19705,240.0,240.0,36.0,88.0,40.9,10.0,31.0,32.300000000000004,13.0,17.0,76.5,7.0,33.0,40.0,22.0,5.0,5.0,9.0,16.0,95.0,,0.497,0.466,0.352,0.193,14.0,70.2,41.2,61.1,5.4,8.2,8.6,100.0,101.9,115.9,DET,95,1,0,240.0,240.0,42.0,91.0,46.2,10.0,30.0,33.300000000000004,14.0,15.0,93.3,14.0,43.0,57.0,23.0,6.0,3.0,9.0,16.0,108.0,,0.553,0.516,0.33,0.165,29.8,86.0,58.8,54.8,6.4,5.3,8.4,100.0,115.9,101.9,LAC,108,0,2018,2018-02-09,False,26.0,57.0,45.614035087719294,32.0,61.0,52.459016393442624,-6.0,-3.0,-5.300000000000004,0.0,1.0,-1.0000000000000009,-6.0,-4.0,-6.84498130572333,-1.0,2.0,-16.800000000000004,-7.0,-10.0,-17.0,-1.0,-1.0,2.0,0.0,0.0,-13.0
2885,240.0,240.0,48.0,89.0,53.900000000000006,12.0,27.0,44.4,22.0,27.0,81.5,10.0,30.0,40.0,32.0,8.0,3.0,9.0,21.0,130.0,,0.644,0.607,0.303,0.303,26.3,76.9,51.9,66.7,8.1,6.0,8.2,100.0,131.5,124.4,DAL,130,1,0,240.0,240.0,46.0,84.0,54.8,16.0,34.0,47.099999999999994,15.0,22.0,68.2,9.0,28.0,37.0,29.0,7.0,0.0,17.0,25.0,123.0,,0.656,0.643,0.405,0.262,23.1,73.7,48.1,63.0,7.1,0.0,15.4,100.0,124.4,131.5,LAL,123,0,2018,2018-02-10,True,36.0,62.0,58.06451612903226,30.0,50.0,60.0,2.0,5.0,-0.9000000000000008,-4.0,-7.0,-2.6999999999999966,6.0,12.0,-1.935483870967736,7.0,5.0,13.29999999999999,1.0,2.0,3.0,3.0,1.0,3.0,-8.0,-4.0,7.0
21889,240.0,240.0,41.0,84.0,48.8,10.0,29.0,34.5,14.0,17.0,82.39999999999999,7.0,42.0,49.0,29.0,5.0,7.0,12.0,17.0,106.0,,0.579,0.548,0.345,0.202,20.0,89.4,59.8,70.7,5.3,11.5,11.6,100.0,113.1,100.3,UTA,106,1,0,240.0,240.0,35.0,85.0,41.2,9.0,24.0,37.5,15.0,19.0,78.9,5.0,28.0,33.0,17.0,8.0,2.0,7.0,18.0,94.0,,0.503,0.465,0.282,0.224,10.6,80.0,40.2,48.6,8.5,3.6,7.0,100.0,100.3,113.1,CHO,94,0,2018,2018-02-09,True,31.0,55.0,56.36363636363636,26.0,61.0,42.62295081967213,6.0,-1.0,7.600000000000001,1.0,5.0,-3.0000000000000027,5.0,-6.0,13.740685543964233,-1.0,-2.0,3.499999999999992,2.0,14.0,16.0,12.0,-3.0,5.0,5.0,-1.0,12.0
22298,240.0,240.0,33.0,95.0,34.699999999999996,8.0,31.0,25.8,8.0,16.0,50.0,8.0,38.0,46.0,17.0,8.0,6.0,12.0,12.0,82.0,,0.402,0.389,0.326,0.168,13.8,82.6,44.2,51.5,7.8,10.2,10.5,100.0,79.7,97.2,NOP,82,0,1,240.0,240.0,39.0,93.0,41.9,14.0,34.0,41.2,8.0,9.0,88.9,8.0,50.0,58.0,26.0,10.0,4.0,15.0,16.0,100.0,,0.516,0.495,0.366,0.097,17.4,86.2,55.8,66.7,9.7,6.3,13.4,100.0,97.2,79.7,PHI,100,1,2018,2018-02-09,False,25.0,64.0,39.0625,25.0,59.0,42.3728813559322,-6.0,2.0,-7.200000000000001,-6.0,-3.0,-15.399999999999997,0.0,5.0,-3.3103813559322015,0.0,7.0,-38.9,0.0,-12.0,-12.0,-9.0,-2.0,2.0,-3.0,-4.0,-18.0
