Unnamed: 0,mp,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,team,total,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,team_opp,total_opp,home_opp,season,date,won,2p,2pa,2p%,2p_opp,2pa_opp,2p%_opp,diff_fg,diff_fga,diff_fg%,diff_3p,diff_3pa,diff_3p%,diff_2p,diff_2pa,diff_2p%,diff_ft,diff_fta,diff_ft%,diff_orb,diff_drb,diff_trb,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,diff_pts
1871,240.0,240.0,44.0,93.0,47.3,10.0,27.0,37.0,14.0,18.0,77.8,12.0,43.0,55.0,19.0,7.0,8.0,13.0,14.0,112.0,,0.555,0.527,0.29,0.194,26.1,78.2,54.5,43.2,6.9,14.3,11.4,100.0,110.2,93.5,OKC,112,1,0,240.0,240.0,37.0,95.0,38.9,9.0,39.0,23.1,12.0,18.0,66.7,12.0,34.0,46.0,22.0,5.0,8.0,15.0,16.0,95.0,,0.462,0.437,0.411,0.189,21.8,73.9,45.5,59.5,4.9,12.1,12.7,100.0,93.5,110.2,HOU,95,0,2024,2024-02-27,True,34.0,66.0,51.51515151515152,28.0,56.0,50.0,7.0,-2.0,8.399999999999997,1.0,-12.0,13.9,6.0,10.0,1.5151515151515138,2.0,0.0,11.099999999999998,0.0,9.0,9.0,-3.0,2.0,0.0,-2.0,-2.0,17.0
2056,240.0,240.0,39.0,82.0,47.599999999999994,16.0,41.0,39.0,11.0,15.0,73.3,7.0,34.0,41.0,28.0,9.0,7.0,22.0,15.0,105.0,,0.593,0.573,0.5,0.183,16.7,75.6,47.1,71.8,8.9,11.3,19.9,100.0,103.4,112.3,SAS,105,0,1,240.0,240.0,43.0,93.0,46.2,13.0,31.0,41.9,15.0,17.0,88.2,11.0,35.0,46.0,28.0,16.0,8.0,14.0,14.0,114.0,,0.567,0.532,0.333,0.183,24.4,83.3,52.9,65.1,15.8,19.5,12.2,100.0,112.3,103.4,MIN,114,1,2024,2024-02-27,False,23.0,41.0,56.09756097560976,30.0,62.0,48.38709677419355,-4.0,-11.0,1.3999999999999957,3.0,10.0,-2.899999999999997,-7.0,-21.0,7.710464201416212,-4.0,-2.0,-14.900000000000002,-4.0,-1.0,-5.0,0.0,-7.0,-1.0,8.0,1.0,-9.0
2057,240.0,240.0,43.0,93.0,46.2,13.0,31.0,41.9,15.0,17.0,88.2,11.0,35.0,46.0,28.0,16.0,8.0,14.0,14.0,114.0,,0.567,0.532,0.333,0.183,24.4,83.3,52.9,65.1,15.8,19.5,12.2,100.0,112.3,103.4,MIN,114,1,0,240.0,240.0,39.0,82.0,47.599999999999994,16.0,41.0,39.0,11.0,15.0,73.3,7.0,34.0,41.0,28.0,9.0,7.0,22.0,15.0,105.0,,0.593,0.573,0.5,0.183,16.7,75.6,47.1,71.8,8.9,11.3,19.9,100.0,103.4,112.3,SAS,105,0,2024,2024-02-27,True,30.0,62.0,48.38709677419355,23.0,41.0,56.09756097560976,4.0,11.0,-1.3999999999999957,-3.0,-10.0,2.899999999999997,7.0,21.0,-7.710464201416212,4.0,2.0,14.900000000000002,4.0,1.0,5.0,0.0,7.0,1.0,-8.0,-1.0,9.0
2274,240.0,240.0,37.0,94.0,39.4,14.0,42.0,33.300000000000004,11.0,12.0,91.7,8.0,20.0,28.0,20.0,6.0,5.0,9.0,23.0,99.0,,0.499,0.468,0.447,0.128,14.5,69.0,33.3,54.1,6.3,9.6,8.3,100.0,104.2,123.1,PHI,99,0,1,240.0,240.0,39.0,74.0,52.7,5.0,22.0,22.7,34.0,37.0,91.9,9.0,47.0,56.0,21.0,7.0,9.0,14.0,16.0,117.0,,0.648,0.561,0.297,0.5,31.0,85.5,66.7,53.8,7.4,17.3,13.4,100.0,123.1,104.2,BOS,117,1,2024,2024-02-27,False,23.0,52.0,44.230769230769226,34.0,52.0,65.38461538461539,-2.0,20.0,-13.3,9.0,20.0,10.6,-11.0,0.0,-21.153846153846157,-23.0,-25.0,-0.2000000000000001,-1.0,-27.0,-28.0,-1.0,-1.0,-4.0,-5.0,7.0,-18.0
2275,240.0,240.0,39.0,74.0,52.7,5.0,22.0,22.7,34.0,37.0,91.9,9.0,47.0,56.0,21.0,7.0,9.0,14.0,16.0,117.0,,0.648,0.561,0.297,0.5,31.0,85.5,66.7,53.8,7.4,17.3,13.4,100.0,123.1,104.2,BOS,117,1,0,240.0,240.0,37.0,94.0,39.4,14.0,42.0,33.300000000000004,11.0,12.0,91.7,8.0,20.0,28.0,20.0,6.0,5.0,9.0,23.0,99.0,,0.499,0.468,0.447,0.128,14.5,69.0,33.3,54.1,6.3,9.6,8.3,100.0,104.2,123.1,PHI,99,0,2024,2024-02-27,True,34.0,52.0,65.38461538461539,23.0,52.0,44.230769230769226,2.0,-20.0,13.3,-9.0,-20.0,-10.6,11.0,0.0,21.153846153846157,23.0,25.0,0.2000000000000001,1.0,27.0,28.0,1.0,1.0,4.0,5.0,-7.0,18.0
2784,240.0,240.0,37.0,75.0,49.3,14.0,37.0,37.8,17.0,23.0,73.9,8.0,39.0,47.0,22.0,3.0,8.0,18.0,19.0,105.0,,0.617,0.587,0.493,0.307,25.0,72.2,54.7,59.5,3.2,11.6,17.5,100.0,113.1,102.3,DET,105,0,1,240.0,240.0,39.0,98.0,39.8,2.0,29.0,6.9,15.0,18.0,83.3,15.0,24.0,39.0,22.0,11.0,3.0,6.0,18.0,95.0,,0.448,0.408,0.296,0.184,27.8,75.0,45.3,56.4,11.8,7.9,5.4,100.0,102.3,113.1,CHI,95,1,2024,2024-02-27,True,23.0,38.0,60.526315789473685,37.0,69.0,53.62318840579711,-2.0,-23.0,9.499999999999996,12.0,8.0,30.9,-14.0,-31.0,6.903127383676577,2.0,5.0,-9.399999999999997,-7.0,15.0,8.0,0.0,-8.0,5.0,12.0,1.0,10.0
9252,240.0,240.0,47.0,94.0,50.0,21.0,46.0,45.7,8.0,11.0,72.7,9.0,35.0,44.0,39.0,12.0,6.0,18.0,11.0,123.0,,0.622,0.612,0.489,0.117,23.1,76.1,51.8,83.0,11.4,10.3,15.4,100.0,117.3,106.8,GSW,123,0,1,240.0,240.0,46.0,93.0,49.5,12.0,35.0,34.300000000000004,8.0,10.0,80.0,11.0,30.0,41.0,34.0,5.0,5.0,20.0,12.0,112.0,,0.575,0.559,0.376,0.108,23.9,76.9,48.2,73.9,4.8,10.4,17.0,100.0,106.8,117.3,WAS,112,1,2024,2024-02-27,True,26.0,48.0,54.166666666666664,34.0,58.0,58.620689655172406,1.0,1.0,0.5000000000000004,9.0,11.0,11.4,-8.0,-10.0,-4.454022988505746,0.0,1.0,-7.300000000000006,-2.0,5.0,3.0,5.0,7.0,1.0,-2.0,-1.0,11.0
4662,240.0,240.0,48.0,91.0,52.7,14.0,33.0,42.4,9.0,15.0,60.0,5.0,31.0,36.0,23.0,11.0,6.0,5.0,12.0,119.0,,0.61,0.604,0.363,0.165,11.6,77.5,43.4,47.9,11.4,14.0,4.9,100.0,123.0,125.1,DAL,119,0,1,240.0,240.0,44.0,83.0,53.0,20.0,40.0,50.0,13.0,18.0,72.2,9.0,38.0,47.0,35.0,2.0,4.0,16.0,12.0,121.0,,0.665,0.651,0.482,0.217,22.5,88.4,56.6,79.5,2.1,6.9,15.0,100.0,125.1,123.0,CLE,121,1,2024,2024-02-27,False,34.0,58.0,58.620689655172406,24.0,43.0,55.81395348837209,4.0,8.0,-0.3000000000000002,-6.0,-7.0,-7.600000000000001,10.0,15.0,2.806736166800317,-4.0,-3.0,-12.2,-4.0,-7.0,-11.0,-12.0,9.0,2.0,-11.0,0.0,-2.0
4663,240.0,240.0,44.0,83.0,53.0,20.0,40.0,50.0,13.0,18.0,72.2,9.0,38.0,47.0,35.0,2.0,4.0,16.0,12.0,121.0,,0.665,0.651,0.482,0.217,22.5,88.4,56.6,79.5,2.1,6.9,15.0,100.0,125.1,123.0,CLE,121,1,0,240.0,240.0,48.0,91.0,52.7,14.0,33.0,42.4,9.0,15.0,60.0,5.0,31.0,36.0,23.0,11.0,6.0,5.0,12.0,119.0,,0.61,0.604,0.363,0.165,11.6,77.5,43.4,47.9,11.4,14.0,4.9,100.0,123.0,125.1,DAL,119,0,2024,2024-02-27,True,24.0,43.0,55.81395348837209,34.0,58.0,58.620689655172406,-4.0,-8.0,0.3000000000000002,6.0,7.0,7.600000000000001,-10.0,-15.0,-2.806736166800317,4.0,3.0,12.2,4.0,7.0,11.0,12.0,-9.0,-2.0,11.0,0.0,2.0
9253,240.0,240.0,46.0,93.0,49.5,12.0,35.0,34.300000000000004,8.0,10.0,80.0,11.0,30.0,41.0,34.0,5.0,5.0,20.0,12.0,112.0,,0.575,0.559,0.376,0.108,23.9,76.9,48.2,73.9,4.8,10.4,17.0,100.0,106.8,117.3,WAS,112,1,0,240.0,240.0,47.0,94.0,50.0,21.0,46.0,45.7,8.0,11.0,72.7,9.0,35.0,44.0,39.0,12.0,6.0,18.0,11.0,123.0,,0.622,0.612,0.489,0.117,23.1,76.1,51.8,83.0,11.4,10.3,15.4,100.0,117.3,106.8,GSW,123,0,2024,2024-02-27,False,34.0,58.0,58.620689655172406,26.0,48.0,54.166666666666664,-1.0,-1.0,-0.5000000000000004,-9.0,-11.0,-11.4,8.0,10.0,4.454022988505746,0.0,-1.0,7.300000000000006,2.0,-5.0,-3.0,-5.0,-7.0,-1.0,2.0,1.0,-11.0
