,top_vs_top,mid_vs_mid,bottom_vs_bottom,top_vs_mid,mid_vs_bottom,top_vs_bottom
diff_orb,1.6443859068170659,1.7192737957178852,1.6369565187977646,1.637133276883829,1.576979603355933,1.555238873733727
diff_tov,0.6127669584454967,0.5844102767279488,0.6271150701953101,0.6180619950407658,0.6271528571877237,0.6321315659827007
diff_3p%,1.5756602172517398,1.5866380569493128,1.4872006845264598,1.5311307329193211,1.4831713495311867,1.5178775585566693
diff_2p%,1.616514468447245,1.768339380682135,1.6861721703715755,1.6535054189489626,1.6570929297831123,1.602550346633861
diff_ft%,1.085745751636554,1.143085773088682,1.104388224356181,1.1105459190558686,1.1009146643666108,1.104197849769017
diff_fta,1.1996662547409995,1.2311625695584,1.2037607034291538,1.1977143350704786,1.199588572856713,1.1864919754557102
diff_3pa,0.9958471923807117,0.9964245909516204,1.000881778435902,1.00772429546197,1.0048959085289972,0.9887169490522513
