,2016,2017,2018,2019,2020,2021,2022,2023,2024,all_year
diff_orb,0.6175496791604724,0.6208437200740266,0.6317504075776573,0.6030588280155151,0.6108276816345612,0.6528133593744561,0.6436527098453217,0.5976561234620145,0.6514544693898363,0.615141213216591
diff_tov,0.6337961295478061,0.5964654028347135,0.6266428084407851,0.6062785793608034,0.6067950706166927,0.6274017416305804,0.6527014672637452,0.5864044123140921,0.652717826012547,0.6105614118990034
diff_3p%,0.32837359210105743,0.27137536308956745,0.29279536158128794,0.24921653659413856,0.23126797362466156,0.22500820917456166,0.2473572702640312,0.21927932583963528,0.28421938450895856,0.25605597291176474
diff_2p%,0.2716290051831579,0.31277924850435823,0.27829693620450613,0.3350597795661501,0.3129532948688867,0.3513251164376451,0.3646069105376212,0.32083610460757583,0.3292701393605809,0.31137063957701494
diff_ft%,0.7063400020531753,0.7189921989965218,0.7431859909371947,0.685629083413665,0.7117022622157646,0.7232551602445512,0.7488155608798501,0.703712968657697,0.7533220775249112,0.7046643281875291
diff_fta,0.6871280552071718,0.6731341963633279,0.7127541467228415,0.6690499606713918,0.6765524820257087,0.7073535389541421,0.7336834392635627,0.6990872318822476,0.7303030775301333,0.6809089679003173
diff_3pa,0.7982982981494656,0.769064244083,0.8054996466202639,0.7607722572957584,0.7767614693343661,0.782785386660283,0.8149335766681356,0.7863183285371821,0.803617874317425,0.7702377771985984
